frame_number,x,y,w,h,center_x,ceter_y
300,394,278,34,28,411,292
301,397,276,34,27,414,289
302,399,276,34,28,416,290
303,401,277,34,28,418,291
304,403,277,34,28,420,291
305,406,278,34,28,423,292
306,408,278,34,28,425,292
307,410,278,34,28,427,292
308,412,278,34,28,429,292
309,414,278,34,28,431,292
310,416,278,34,28,433,292
311,418,278,34,28,435,292
312,420,278,34,28,437,292
313,422,278,34,28,439,292
314,424,278,34,28,441,292
315,427,279,34,28,444,293
316,428,278,34,28,445,292
317,430,277,34,27,447,290
318,432,277,34,27,449,290
319,434,276,33,27,450,289
320,436,275,33,27,452,288
321,437,275,33,26,453,288
322,439,274,32,27,455,287
323,441,273,32,26,457,286
324,443,273,32,26,459,286
325,445,272,31,26,460,285
326,446,271,31,26,461,284
327,448,271,31,25,463,283
328,450,270,30,25,465,282
329,451,269,30,25,466,281
330,451,269,30,25,466,281
331,452,268,29,25,466,280
332,452,267,29,24,466,279
333,454,266,31,24,469,278
334,454,265,31,24,469,277
335,455,264,31,23,470,275
336,456,263,30,23,471,274
337,457,263,30,23,472,274
338,458,262,30,23,473,273
339,459,262,30,23,474,273
340,459,263,28,23,473,274
341,459,264,27,23,472,275
342,460,265,31,23,475,276
343,461,266,29,23,475,277
344,463,268,27,23,476,279
345,463,269,30,24,478,281
346,462,271,30,24,477,283
347,463,271,30,24,478,283
348,463,271,30,25,478,283
349,464,271,30,25,479,283
350,464,271,30,24,479,283
351,466,271,29,21,480,281
352,466,272,29,22,480,283
353,466,272,29,22,480,283
354,467,272,29,23,481,283
355,467,272,29,23,481,283
356,467,273,29,23,481,284
357,467,273,29,23,481,284
358,468,273,28,23,482,284
359,468,273,27,22,481,284
360,468,274,27,22,481,285
361,469,275,27,22,482,286
362,470,276,27,22,483,287
363,469,276,29,21,483,286
364,469,278,26,22,482,289
365,469,278,26,22,482,289
366,470,279,27,21,483,289
367,470,279,27,21,483,289
368,471,280,27,21,484,290
369,472,281,26,21,485,291
370,471,281,26,21,484,291
371,471,281,26,21,484,291
372,471,281,26,21,484,291
373,472,282,26,21,485,292
374,471,281,25,21,483,291
375,471,280,25,21,483,290
376,470,280,25,21,482,290
377,470,279,25,21,482,289
378,470,279,26,21,483,289
379,468,277,26,21,481,287
380,467,276,26,20,480,286
381,466,275,26,20,479,285
382,465,274,26,20,478,284
383,464,272,25,21,476,282
384,463,270,26,20,476,280
385,462,271,25,20,474,281
386,461,269,25,21,473,279
387,459,268,25,21,471,278
388,457,268,24,21,469,278
389,455,268,24,20,467,278
390,452,268,25,20,464,278
391,450,268,26,20,463,278
392,448,266,24,20,460,276
393,445,265,24,20,457,275
394,441,265,25,21,453,275
395,438,264,25,20,450,274
396,435,265,25,19,447,274
397,431,264,26,19,444,273
398,428,264,25,18,440,273
399,424,264,25,17,436,272
400,421,262,24,20,433,272
401,417,262,23,20,428,272
402,413,261,25,19,425,270
403,408,261,25,19,420,270
404,405,262,24,19,417,271
405,399,261,24,18,411,270
406,394,261,24,17,406,269
407,389,261,24,16,401,269
408,384,262,24,16,396,270
409,380,261,24,16,392,269
410,374,261,23,17,385,269
411,369,261,22,17,380,269
412,362,260,24,17,374,268
413,356,260,24,16,368,268
414,350,260,24,16,362,268
415,343,260,23,16,354,268
416,337,259,22,17,348,267
417,330,259,22,17,341,267
418,323,257,21,17,333,265
419,316,256,21,17,326,264
420,309,257,21,16,319,265
421,300,256,21,16,310,264
422,292,255,21,17,302,263
423,283,254,21,17,293,262
424,275,253,21,18,285,262
425,267,253,21,16,277,261
426,258,253,21,17,268,261
427,249,253,21,17,259,261
428,239,253,21,17,249,261
429,230,254,21,17,240,262
430,220,255,22,18,231,264
431,210,256,20,18,220,265
432,201,255,20,18,211,264
433,188,257,20,18,198,266
434,175,255,20,18,185,264
435,165,254,20,18,175,263
436,159,255,20,18,169,264
437,153,256,20,17,163,264
438,141,255,20,17,151,263
439,129,255,21,17,139,263
440,119,255,20,17,129,263
441,109,254,20,17,119,262
442,97,254,21,17,107,262
443,86,255,21,17,96,263
444,74,255,21,17,84,263
445,62,255,21,17,72,263
446,50,254,21,17,60,262
447,38,254,21,17,48,262
448,25,254,21,16,35,262
449,12,252,21,16,22,260
450,1,252,20,17,11,260
451,21,309,93,70,67,344
452,5,309,96,74,53,346
453,-8,310,92,72,38,346
454,-22,312,90,73,23,348
455,-39,314,90,73,6,350
456,6,352,197,114,104,409
457,-15,354,197,114,83,411
458,-36,356,197,115,62,413
459,-57,358,197,115,41,415
460,-78,360,197,116,20,418
461,-100,364,197,116,-1,422
462,-122,369,197,116,-23,427
463,-144,373,197,116,-45,431
464,-169,373,197,116,-70,431
506,952,251,30,26,967,264
507,936,253,34,24,953,265
508,921,253,36,25,939,265
509,907,253,35,26,924,266
510,892,254,35,26,909,267
511,929,279,53,53,955,305
512,914,277,60,55,944,304
513,899,280,67,54,932,307
514,930,261,44,37,952,279
515,917,260,44,36,939,278
516,905,260,44,35,927,277
517,893,260,43,35,914,277
518,881,259,42,35,902,276
519,869,259,41,35,889,276
520,952,297,96,43,1000,318
521,941,289,96,43,989,310
522,929,289,96,43,977,310
523,947,265,64,25,979,277
524,937,267,64,25,969,279
525,924,267,64,25,956,279
526,911,269,64,25,943,281
527,899,270,64,25,931,282
528,887,266,64,25,919,278
529,875,267,64,25,907,279
530,866,266,60,24,896,278
531,853,266,60,24,883,278
532,842,266,60,24,872,278
533,833,267,60,24,863,279
534,823,268,60,24,853,280
535,813,268,60,24,843,280
536,804,268,60,24,834,280
537,795,268,60,24,825,280
538,952,313,112,55,1008,340
539,943,310,112,55,999,337
540,931,309,112,55,987,336
541,921,315,112,55,977,342
542,913,315,112,58,969,344
543,903,314,111,62,958,345
544,896,314,110,62,951,345
545,886,315,110,63,941,346
546,879,310,110,63,934,341
547,871,312,110,60,926,342
548,863,308,110,60,918,338
549,857,310,110,64,912,342
550,848,308,118,65,907,340
551,842,309,118,66,901,342
552,834,307,118,67,893,340
553,828,307,118,67,887,340
554,822,306,118,67,881,339
555,816,306,119,67,875,339
556,810,305,119,67,869,338
557,804,305,120,67,864,338
558,798,304,120,67,858,337
559,792,304,120,67,852,337
560,786,304,121,67,846,337
561,779,303,122,67,840,336
562,775,305,122,66,836,338
563,770,305,121,67,830,338
564,765,305,122,67,826,338
565,760,305,122,67,821,338
566,755,305,123,67,816,338
567,751,305,124,68,813,339
568,746,304,124,68,808,338
569,742,304,125,69,804,338
570,738,305,126,69,801,339
571,734,305,127,69,797,339
572,729,306,128,70,793,341
573,725,306,129,70,789,341
574,722,306,130,71,787,341
575,719,307,130,71,784,342
576,716,309,130,71,781,344
577,712,308,132,72,778,344
578,709,308,134,73,776,344
579,706,308,134,74,773,345
580,704,308,135,75,771,345
581,702,308,135,75,769,345
582,700,308,135,76,767,346
583,698,308,136,77,766,346
584,696,308,137,78,764,347
585,694,308,138,79,763,347
586,693,308,139,80,762,348
587,691,308,140,81,761,348
588,691,308,141,81,761,348
589,690,308,141,82,760,349
590,690,308,142,83,761,349
591,690,308,144,84,762,350
592,691,308,145,85,763,350
593,692,308,146,87,765,351
594,689,313,148,87,763,356
595,691,310,150,86,766,353
596,692,311,152,87,768,354
597,694,311,154,87,771,354
598,695,311,156,88,773,355
599,697,311,157,89,775,355
600,699,311,159,90,778,356
601,701,311,161,91,781,356
602,700,311,164,91,782,356
603,705,313,164,93,787,359
604,706,313,166,93,789,359
605,707,313,169,93,791,359
606,710,313,171,93,795,359
607,712,314,174,94,799,361
608,715,314,177,95,803,361
609,716,315,179,94,805,362
610,718,317,182,93,809,363
611,720,318,184,93,812,364
612,723,320,186,93,816,366
613,727,323,188,93,821,369
614,729,324,191,95,824,371
615,731,326,194,98,828,375
616,734,327,197,100,832,377
617,736,329,200,103,836,380
618,740,330,204,105,842,382
619,743,334,205,107,845,387
620,747,335,214,113,854,391
621,750,336,213,115,856,393
622,754,337,212,117,860,395
623,757,338,211,119,862,397
624,762,339,211,120,867,399
625,767,339,212,121,873,399
626,773,340,212,121,879,400
627,780,340,212,125,886,402
628,785,337,212,129,891,401
629,791,338,212,130,897,403
630,798,340,210,131,903,405
631,803,341,210,134,908,408
632,809,343,211,137,914,411
633,819,345,210,143,924,416
634,826,348,212,141,932,418
635,833,351,213,139,939,420
636,840,354,214,137,947,422
637,849,358,214,135,956,425
638,859,361,213,133,965,427
639,868,365,212,131,974,430
640,877,368,212,129,983,432
641,887,372,211,127,992,435
642,897,375,210,126,1002,438
643,907,379,209,125,1011,441
644,916,384,208,119,1020,443
645,929,389,208,118,1033,448
646,942,390,208,121,1046,450
647,567,267,73,31,603,282
648,571,267,74,31,608,282
649,575,267,75,31,612,282
650,579,267,76,31,617,282
651,583,265,76,30,621,280
652,587,264,76,30,625,279
653,592,260,76,30,630,275
654,597,261,76,31,635,276
655,602,263,76,31,640,278
656,609,265,77,29,647,279
657,613,269,78,29,652,283
658,618,273,78,29,657,287
659,622,274,79,30,661,289
660,625,275,80,30,665,290
661,629,277,81,30,669,292
662,633,279,82,30,674,294
663,638,281,82,30,679,296
664,643,281,83,30,684,296
665,647,282,84,31,689,297
666,652,283,84,31,694,298
667,657,283,84,35,699,300
668,663,283,84,34,705,300
669,668,283,84,34,710,300
670,673,282,84,34,715,299
671,678,282,84,34,720,299
672,683,281,84,33,725,297
673,689,281,84,33,731,297
674,694,280,83,35,735,297
675,700,280,82,36,741,298
676,705,284,86,32,748,300
677,710,280,85,37,752,298
678,716,283,86,39,759,302
679,722,286,86,39,765,305
680,725,289,90,41,770,309
681,733,280,90,40,778,300
682,734,284,90,39,779,303
683,740,281,90,38,785,300
684,746,274,90,38,791,293
685,752,274,90,37,797,292
686,759,273,90,36,804,291
687,763,275,91,36,808,293
688,768,276,93,36,814,294
689,773,278,94,36,820,296
690,777,274,94,43,824,295
691,782,277,93,42,828,298
692,787,280,93,41,833,300
693,793,283,92,40,839,303
694,798,286,91,39,843,305
695,803,289,90,39,848,308
696,806,291,90,36,851,309
697,812,295,94,36,859,313
698,817,298,98,36,866,316
699,822,297,102,37,873,315
700,827,301,102,37,878,319
701,833,303,102,37,884,321
702,837,309,103,38,888,328
703,842,309,102,41,893,329
704,848,311,103,41,899,331
705,853,316,104,41,905,336
706,857,310,104,41,909,330
707,862,308,104,41,914,328
708,868,306,104,41,920,326
709,872,317,104,40,924,337
710,876,307,105,40,928,327
711,881,310,104,41,933,330
712,886,303,104,47,938,326
713,892,299,104,45,944,321
714,896,298,103,45,947,320
715,900,297,103,45,951,319
716,905,300,104,41,957,320
717,910,297,102,45,961,319
718,915,298,102,44,966,320
719,920,300,103,44,971,322
720,925,302,103,43,976,323
721,930,303,103,43,981,324
722,935,305,103,43,986,326
723,941,307,103,42,992,328
724,946,308,104,42,998,329
725,951,310,104,41,1003,330
726,795,315,125,73,857,351
727,800,321,126,75,863,358
728,804,321,128,76,868,359
729,809,322,130,76,874,360
730,812,324,132,77,878,362
731,817,324,134,79,884,363
732,822,325,134,78,889,364
733,826,328,134,78,893,367
734,831,327,134,79,898,366
735,835,326,134,79,902,365
736,840,326,135,79,907,365
737,844,328,135,79,911,367
738,849,330,134,78,916,369
739,854,331,134,78,921,370
740,859,332,134,79,926,371
741,864,334,134,79,931,373
742,867,335,134,80,934,375
743,871,337,134,81,938,377
744,874,338,134,82,941,379
745,878,340,134,83,945,381
746,883,339,134,85,950,381
747,887,340,135,78,954,379
748,892,341,135,78,959,380
749,897,342,134,79,964,381
